نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
اخزا723,اسنادخزانه-م23بودجه97-000824,5,922,889063590,962820,958001,967990,"5,170.00",0.54,964277,"1,457.00",0.15,958001,967990
اراد61,مرابحه عام دولت61-ش.خ0309,5,100000,1E+11,1000001,1000001,1000001,0,0,1000001,0,0,1000001,1000001
ضپاس7028,اختيارخ وپارس-2000-1400/07/28,5,11,15426000,1233,1400,1400,167.00,13.54,1402,169.00,13.71,1300,1444
كابگن,توليدي و صنعتي آبگينه‌,5,94000,529314000,5576,5631,5631,55.00,0.99,5588,12.00,0.22,5631,5631
ضجار7041,اختيارخ وتجارت-2997-1400/07/21,5,89,16660000,190,180,170,-20.00,-10.53,187,-3.00,-1.58,170,190
ضفلا7005,اختيارخ فولاد-11013-1400/07/25,5,18,42508640,1860,1550,1800,-60.00,-3.23,1684,-176.00,-9.46,1550,1860
فولاد2,فولاد مباركه اصفهان,5,186199834,2.22838E+12,12060,12000,11940,-120.00,-1.00,11968,-92.00,-0.76,11880,12060
ضپاس7031,اختيارخ وپارس-3500-1400/07/28,5,106,38849000,30,399,365,335.00,"1,116.67",366,336.00,"1,120.00",365,399
تملي702,تسهيلات مسكن ب. ملي-ارديبهشت97,5,110,68559150,593586,623265,623265,"29,679.00",5.00,623265,"29,679.00",5.00,623265,623265
تملي701,تسهيلات مسكن ب. ملي-فروردين97,5,42,35007005,836954,878750,859998,"23,044.00",2.75,833500,"-3,454.00",-0.41,795107,870000
طخود7075,اختيارف خودرو-2000-1400/07/07,4,351,9724000,17,24,30,13.00,76.47,28,11.00,64.71,24,30
افران2,صندوق س افرا نماد پايدار-ثابت,4,19000000,19000000,14170,1,1,"-14,169.00",-99.99,1,"-14,169.00",-99.99,1,1
ددامح,ح . داروسازي زاگرس فارمد پارس,4,4172,65083200,15600,15600,15600,0,0,15600,0,0,15600,15600
ضبدر8078,اختيارخ شبندر-5157-1400/08/30,4,35,262304000,1497,1600,1600,103.00,6.88,1600,103.00,6.88,1600,1600
فملي2,ملي‌ صنايع‌ مس‌ ايران‌,4,179200000,2.48548E+12,14010,13900,13800,-210.00,-1.50,13870,-140.00,-1.00,13800,13900
سفارود,كارخانه فارسيت درود,4,1847,30721151,16972,16633,16633,-339.00,-2.00,16970,-2.00,-0.01,16633,16633
