,,,,,,,,,,,,,,
دیده بان بازار : 1400/6/16,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
شرق1400,مشاركت ليزينگ ايران وشرق140010,2,20,19980000,999000,999000,999000,0,0,999000,0,0,999000,999000
مشهد0012,مشاركت شهرداري مشهد-3ماهه20%,2,20,20000000,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
ضشنا8003,اختيارخ شپنا-8800-1400/08/16,2,8,46500000,5975,6000,5500,-475.00,-7.95,5812,-163.00,-2.73,5500,6000
اراد494,مرابحه عام دولت4-ش.خ 0206,2,18468500,1.74286E+13,930000,943742,943650,"13,650.00",1.47,943692,"13,692.00",1.47,943650,943742
اخزا820,اسنادخزانه-م20بودجه98-020806,2,260,171080260,658000,658001,658001,1.00,0,658001,1.00,0,658001,658001
ضملي7005,اختيارخ فملي-15720-1400/07/11,2,34,10952000,400,488,300,-100.00,-25.00,322,-78.00,-19.50,300,488
وتعاونح,ح . بيمه  تعاون,2,44155,53339240,1245,1208,1208,-37.00,-2.97,1208,-37.00,-2.97,1208,1208
كمند2,صندوق س. با درآمد ثابت كمند,2,208000000,208000000,10170,1,1,"-10,169.00",-99.99,1,"-10,169.00",-99.99,1,1
آوا2,صندوق س.سهام آواي معيار-س,2,1700000,1700000,8705,1,1,"-8,704.00",-99.99,1,"-8,704.00",-99.99,1,1
ضترا8059,اختيارخ شتران-8800-1400/08/09,2,10,29445000,3100,2949,2940,-160.00,-5.16,2944,-156.00,-5.03,2940,2949
ضجار7037,اختيارخ وتجارت-1597-1400/07/21,2,3,2900000,1050,900,1000,-50.00,-4.76,967,-83.00,-7.90,900,1000
تملي709,تسهيلات مسكن ب. ملي-آذر97,2,22,17765000,849999,807500,807500,"-42,499.00",-5.00,807500,"-42,499.00",-5.00,807500,807500
هرمز2,فولاد هرمزگان جنوب,2,31000000,5.7125E+11,18655,18500,18250,-405.00,-2.17,18427,-228.00,-1.22,18250,18500
ضفار8050,اختيارخ فارس-8000-1400/08/05,2,16,80600000,5789,5600,5000,-789.00,-13.63,5037,-752.00,-12.99,5000,5600
صگل1411,ص اجاره گل گهر 1411-3 ماهه 17%,1,10,9700000,997000,970000,970000,"-27,000.00",-2.71,970000,"-27,000.00",-2.71,970000,970000
صپا ه 25,بار پايه هفته 25صنعتي,1,6000,4380000,730,730,730,0,0,730,0,0,730,730
