نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
كابگن,توليدي و صنعتي آبگينه‌,4,7010,39690620,5606,5662,5662,56.00,1.00,5607,1.00,0.02,5662,5662
وشمال,س. چشم انداز توسعه شمال,4,568,44027384,79094,77513,77513,"-1,581.00",-2.00,79080,-14.00,-0.02,77513,77513
نبروج,نساجي بروجرد,4,2009,12160477,5821,6053,6053,232.00,3.99,5822,1.00,0.02,6053,6053
ضترا8058,اختيارخ شتران-7800-1400/08/09,4,5,18755000,3855,3811,3711,-144.00,-3.74,3751,-104.00,-2.70,3711,3811
هنوري102,اختيارف ت نوري59561-01/02/15,4,30250,30250,1,1,1,0,0,1,0,0,1,1
اگ001254,گام بانك پارسيان0012,4,1666,1496029000,897000,941850,898000,"1,000.00",0.11,897977,977.00,0.11,891500,898000
طسپا8042,اختيارف خساپا-1800-1400/08/26,4,400,20000000,1,50,50,49.00,"4,900.00",50,49.00,"4,900.00",50,50
اراد50,مرابحه عام دولت5-ش.خ0302,4,50200,50200000000,1000000,1000000,1000000,0,0,1000000,0,0,1000000,1000000
ثاژن,سخت آژند,4,3766,32835754,9082,8719,8719,-363.00,-4.00,9080,-2.00,-0.02,8719,8719
اراد334,مرابحه عام دولت3-ش.خ 0303,4,3153000,2.79649E+12,888000,887438,887200,-800.00,-0.09,886929,"-1,071.00",-0.12,884000,887438
كهرام,توليدي گرانيت بهسرام,4,286,27099072,96685,94752,94752,"-1,933.00",-2.00,96674,-11.00,-0.01,94752,94752
ضپنا8000,اختيارخ رمپنا-10000-1400/08/05,4,15,164999000,9490,11000,11999,"2,509.00",26.44,11000,"1,510.00",15.91,10500,11999
شكف,كف,4,166,15772988,98977,95018,95018,"-3,959.00",-4.00,98970,-7.00,-0.01,95018,95018
ضخود1051,اختيارخ خودرو-1800-1400/10/08,4,253,164450000,745,650,650,-95.00,-12.75,650,-95.00,-12.75,650,650
طسپا8043,اختيارف خساپا-2000-1400/08/26,4,305,38400000,80,100,80,0,0,126,46.00,57.50,80,150
ضپنا8002,اختيارخ رمپنا-14000-1400/08/05,4,38,251000000,5900,6800,6600,700.00,11.86,6605,705.00,11.95,6600,6800
فجهان4,مجتمع جهان فولاد سيرجان,3,2000000000,1.1E+13,1000,5500,5500,"4,500.00",450.00,5500,"4,500.00",450.00,5500,5500
