نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
ضپنا8000,اختيارخ رمپنا-10000-1400/08/05,4,50,141644000,7718,3000,8300,582.00,7.54,2833,"-4,885.00",-63.29,950,8300
هماي2,صندوق س هماي آگاه-ثابت,4,29149000,29149000,10350,1,1,"-10,349.00",-99.99,1,"-10,349.00",-99.99,1,1
زعف0008پ08,زعفران0008نگين روستا(پ),4,5101,729570525,141930,143025,143025,"1,095.00",0.77,143025,"1,095.00",0.77,143025,143025
اخزا810,اسنادخزانه-م10بودجه98-001006,3,2719,2553612126,939640,936218,939900,260.00,0.03,939173,-467.00,-0.05,936218,939900
فولاد2,فولاد مباركه اصفهان,3,140000000,1.6868E+12,12040,12100,12040,0,0,12049,9.00,0.07,12040,12100
هفجر102,اختيارف ت بفجر24401-01/02/11,3,25173,25173,1,1,1,0,0,1,0,0,1,1
سپيدما2,صندوق س. سپيد دماوند-د,3,30000000,30000000,10974,1,1,"-10,973.00",-99.99,1,"-10,973.00",-99.99,1,1
اراد65,مرابحه عام دولتي65-ش.خ0210,3,1200,1166000200,977500,970000,930001,"-47,499.00",-4.86,971667,"-5,833.00",-0.60,930001,990000
ضفلا7004,اختيارخ فولاد-9586-1400/07/25,3,39,172684340,3186,3170,3130,-56.00,-1.76,3158,-28.00,-0.88,3130,3200
ضملي7005,اختيارخ فملي-15720-1400/07/11,3,7,3470000,610,600,450,-160.00,-26.23,496,-114.00,-18.69,450,620
پارسان2,گسترش نفت و گاز پارسيان,3,22998426,7.30438E+11,31740,31830,31710,-30.00,-0.09,31760,20.00,0.06,31600,31830
ضشنا8000,اختيارخ شپنا-5800-1400/08/16,3,31,266100000,6887,8600,8100,"1,213.00",17.61,8584,"1,697.00",24.64,8100,8600
تملي712,تسهيلات مسكن ب. ملي-اسفند97,3,34,27645660,840363,882000,798345,"-42,018.00",-5.00,813108,"-27,255.00",-3.24,798345,882000
ضپيك7041,اختيارخ تاپيكو-7070-00/07/18,3,15,107275000,8000,6950,7555,-445.00,-5.56,7152,-848.00,-10.60,6950,7555
ضپاس7028,اختيارخ وپارس-2000-1400/07/28,3,6,7400000,1083,1300,1200,117.00,10.80,1233,150.00,13.85,1200,1300
تملي803,تسهيلات مسكن ب. ملي-خرداد98,3,59,39790000,643788,670000,675000,"31,212.00",4.85,674407,"30,619.00",4.76,670000,675000
اخزا807,اسنادخزانه-م7بودجه98-000719,3,10123,10016362000,978922,979000,989600,"10,678.00",1.09,989466,"10,544.00",1.08,978500,989600
صنفت312,صكوك منفعت نفت312-6ماهه 18/5%,3,3012,3011698800,990000,999900,999900,"9,900.00",1.00,999900,"9,900.00",1.00,999900,999900
ضصاد8036,اختيارخ وبصادر-3989-1400/08/12,3,300,12000000,50,40,40,-10.00,-20.00,40,-10.00,-20.00,40,40
ضجار7041,اختيارخ وتجارت-2997-1400/07/21,3,150,28500000,185,190,190,5.00,2.70,190,5.00,2.70,190,190
اراد33,مرابحه عام دولت3-ش.خ 0303,3,1100,975000000,886990,870001,888000,"1,010.00",0.11,886364,-626.00,-0.07,870001,888000
زعف0008پ10,زعفران0008نگين طلاي سرخ(پ),3,500,77250000,154245,154500,154500,255.00,0.17,154500,255.00,0.17,154500,154500
سپرمي,پرميت‌,3,1600,14843200,9186,9277,9277,91.00,0.99,9187,1.00,0.01,9277,9277
زعف0008پ19,زعفران0008نگين تروند قاينات(پ),3,1000,154500000,150994,154500,154500,"3,506.00",2.32,154500,"3,506.00",2.32,154500,154500
اراد644,مرابحه عام دولتي64-ش.خ0111,2,31820000,3.01722E+13,944500,948431,948000,"3,500.00",0.37,948215,"3,715.00",0.39,948000,948431
ضترا8057,اختيارخ شتران-6800-1400/08/09,2,2,7600000,4231,3800,3800,-431.00,-10.19,3800,-431.00,-10.19,3800,3800
پرند,صندوق س. پروژه آرمان پرند مپنا,2,190000,1367643000,6785,6962,7200,415.00,6.12,7198,413.00,6.09,6962,7200
زعف0008پ18,زعفران0008نگين بهرامن(پ),2,1000,154000000,151387,154000,154000,"2,613.00",1.73,154000,"2,613.00",1.73,154000,154000
پست0008پ04,پسته فندقي32-30سبزدانه0008(پ),2,15,27000000,1787520,1800000,1800000,"12,480.00",0.70,1800000,"12,480.00",0.70,1800000,1800000
اراد404,مرابحه عام دولت4-ش.خ 0207,2,1200000,1.09467E+12,1000000,912348,912100,"-87,900.00",-8.79,912224,"-87,776.00",-8.78,912100,912348
اراد36,مرابحه عام دولت3-ش.خ 0104,2,8000,7550000000,946161,970000,940000,"-6,161.00",-0.65,943750,"-2,411.00",-0.25,940000,970000
ضپيك7044,اختيارخ تاپيكو-12070-00/07/18,2,10,30000000,4000,3000,3000,"-1,000.00",-25.00,3000,"-1,000.00",-25.00,3000,3000
ضسپا8046,اختيارخ خساپا-3500-1400/08/26,2,109,6035000,104,115,50,-54.00,-51.92,55,-49.00,-47.12,50,115
زعف0008پ05,زعفران0008نگين زرين(پ),2,330,47198250,141930,143025,143025,"1,095.00",0.77,143025,"1,095.00",0.77,143025,143025
ضفار8047,اختيارخ فارس-5000-1400/08/05,2,20,160000000,8275,8000,8000,-275.00,-3.32,8000,-275.00,-3.32,8000,8000
كشم0006پ02,كشمش تيزابي0006تاكستان(پ),2,200,46100000,231000,231000,230000,"-1,000.00",-0.43,230500,-500.00,-0.22,230000,231000
ضفلا7003,اختيارخ فولاد-8160-1400/07/25,2,2,13739600,4000,5000,4800,800.00,20.00,4900,900.00,22.50,4800,5000
مشير112,مشاركت شهرداري شيراز-3ماهه18%,2,15,14900000,1000000,1000000,990000,"-10,000.00",-1.00,993333,"-6,667.00",-0.67,990000,1000000
اراد704,مرابحه عام دولت70-ش.خ0112,2,26114000,2.47105E+13,943750,946388,946000,"2,250.00",0.24,946254,"2,504.00",0.27,946000,946388
زعف0008پ09,زعفران0008نگين نوين(پ),2,281,42852500,152176,152500,152500,324.00,0.21,152500,324.00,0.21,152500,152500
مبين0152,اجاره اعتماد مبين تمدن011019,2,997700,9.977E+11,994500,1000000,1000000,"5,500.00",0.55,1000000,"5,500.00",0.55,1000000,1000000
ضبدر8078,اختيارخ شبندر-5157-1400/08/30,2,30,210311600,1584,1450,1590,6.00,0.38,1497,-87.00,-5.49,1450,1590
اراد53,مرابحه عام دولت5-ش.خ 0207,2,4000,3950000000,1000000,950000,1000000,0,0,987500,"-12,500.00",-1.25,950000,1000000
همبين102,اختيارف ت مبين17952-01/02/10,2,1500,1500,1,1,1,0,0,1,0,0,1,1
زعف0008پ12,زعفران0008پوشالمعمول سحرخيز(پ),2,1010,121151400,120010,120000,115140,"-4,870.00",-4.06,119952,-58.00,-0.05,115140,120000
افاد1,منفعت دولت-با شرايط خاص140006,2,200,206219500,1001300,1010830,1051365,"50,065.00",5.00,1031097,"29,797.00",2.98,1010830,1051365
طسپا8043,اختيارف خساپا-2000-1400/08/26,2,150,15000000,1,100,100,99.00,"9,900.00",100,99.00,"9,900.00",100,100
ضسان7077,اختيارخ پارسان-16000-00/07/14,2,2,30000000,15000,15000,15000,0,0,15000,0,0,15000,15000
ضپنا8006,اختيارخ رمپنا-24000-1400/08/05,2,19,19000000,2000,1000,1000,"-1,000.00",-50.00,1000,"-1,000.00",-50.00,1000,1000
ضغدر8059,اختيارخ وغدير-12000-1400/08/26,2,31,185969000,5800,5999,5999,199.00,3.43,5999,199.00,3.43,5999,5999
اراد834,مرابحه عام دولت83-ش.خ041220,2,16000000,1.46779E+13,1000000,917457,917280,"-82,720.00",-8.27,917368,"-82,632.00",-8.26,917280,917457
تملي705,تسهيلات مسكن ب. ملي-مرداد97,2,27,20626416,728409,763500,764824,"36,415.00",5.00,763941,"35,532.00",4.88,763500,764824
افران2,صندوق س افرا نماد پايدار-ثابت,2,26000000,26000000,14155,1,1,"-14,154.00",-99.99,1,"-14,154.00",-99.99,1,1
